Layer,Name,GEOID,PCI_2020-2024,HCSBDP_2023-2024,POC_2020-2024,POP_2020-2024
(Indicator name),,,"Per capita income, 2020-2024","Adult binge drinking rate (% of adults), 2023-2024","People of color (% of residents), 2020-2024","Population (residents), 2020-2024"
(Definition),,,"Income in the past 12 months.","Percent of adults who report binge drinking (men having 5 or more drinks on one occasion, women having 4 or more drinks on one occasion) in the past month.","Percent of residents that are not non-Hispanic white.","Average population over the time period."
(Citation),,,"U.S. Census Bureau - American Community Survey (ACS) (Table B19301)","Chicago Department of Public Health - Healthy Chicago Survey (HCS)","U.S. Census Bureau - American Community Survey (ACS) (Table B03002)","U.S. Census Bureau - American Community Survey (ACS) (ACS: Table B01001 (sex and age), B03002 (race/ethnicity); Decennial Census: Table P012)"
---,---,---,---,---,---,---
Community area,Rogers Park,1,40324.957268060825,42.497201369,55.09743151516768,54023.51404694976
Community area,Norwood Park,10,52389.36930003792,42.805675332,28.297241756442975,42638.430864951515
Community area,Jefferson Park,11,49676.47738960594,45.667508621,44.010169477347546,26634.542326773037
Community area,Forest Glen,12,70943.73852893911,29.076525588,29.32820290082761,19886.375072714927
Community area,North Park,13,38549.46020346622,20.066292309,55.050459372510176,18307.61022482388
Community area,Albany Park,14,43335.090602962984,29.46277947,65.64023169805446,45707.82125877903
Community area,Portage Park,15,43196.382563801606,33.70902093,53.56248225694323,63049.27293122433
Community area,Irving Park,16,54919.94076035927,29.295929567,54.1164351755128,53301.720432851886
Community area,Dunning,17,43120.509380571755,31.302992195,48.41673991191194,41208.045989819395
Community area,Montclare,18,31233.73288468904,34.525463397,71.00401656739886,14290.310832940955
Community area,Belmont Cragin,19,26727.0421724634,29.796575686,87.00525678413784,72131.65463459128
Community area,West Ridge,2,34945.22512363276,20.384128648,60.12371739102639,78390.30821852958
Community area,Hermosa,20,29141.093912594268,30.485129566,90.42449906351986,22644.717835658757
Community area,Avondale,21,51235.8985335033,37.825248446,61.96989097855963,35520.9017778837
Community area,Logan Square,22,72563.30814273265,42.409944432,47.34854046306464,71426.58839418365
Community area,Humboldt Park,23,27962.444320164195,31.860017573,87.75017129143622,55766.9553330079
Community area,West Town,24,94349.66957071632,51.345099589,38.583192059849715,88181.67603039017
Community area,Austin,25,25293.09143003252,26.39744372,94.46629928563591,97671.11079977907
Community area,West Garfield Park,26,21332.538967606866,28.882050114,98.69912916497425,15086.162549728782
Community area,East Garfield Park,27,24331.60038421928,33.797273209,92.24309624936896,20739.825816661003
Community area,Near West Side,28,86801.38424015904,43.516518482,58.35735996120936,68097.64749596105
Community area,North Lawndale,29,24256.835408720963,35.217414316,96.0487385747032,33979.92102222128
Community area,Uptown,3,55561.67648224392,36.957607867,48.40610660964427,54490.99263491023
Community area,South Lawndale,30,22871.326211352167,24.749001817,94.14295665707209,69830.03688424261
Community area,Lower West Side,31,44023.52889792536,42.698092871,78.34636248291058,33412.04159156827
Community area,Loop,32,100583.80046279168,30.055363527,50.23583861259527,43756.84987517721
Community area,Near South Side,33,91321.74296604426,31.284976485,57.48671158713001,28903.93689669003
Community area,Armour Square,34,30817.58363333983,21.80424818,86.42203694485211,13821.73561594313
Community area,Douglas,35,36232.670295633274,33.929459643,89.72470933032346,21090.85063630398
Community area,Oakland,36,39035.708088820524,28.112443679,94.67418115700968,6940.063701843177
Community area,Fuller Park,37,17092.36867957422,43.034441746,96.63464078681686,2340.5178060198177
Community area,Grand Boulevard,38,39264.202223784865,23.47195521,94.40807535089404,25177.249063480947
Community area,Kenwood,39,66621.80991074372,21.148647354,79.48432783369995,18427.525297841814
Community area,Lincoln Square,4,63201.96088038953,41.886330165,37.92134855892945,41565.112883410984
Community area,Washington Park,40,22463.41567019801,26.160850897,98.0265599257552,12314.668408889758
Community area,Hyde Park,41,61926.511991890264,30.985524743,59.22392493317241,30600.29143781308
