Community Area;Population_Mean_2020_2024;Total_Crimes;Arrest_Rate;Domestic_Rate;Violent_Rate
1;54024;20350;26,2;14,53;31,77
2;78390;17577;17,98;13,63;28,4
3;54491;20242;29,09;8,99;27,17
4;41565;10181;17,81;9,29;24,72
5;36047;7954;13,96;6,25;16,58
6;102825;31813;18,41;4,66;21,47
7;67921;21519;11,05;3,85;14,6
8;99292;49840;22,66;4,45;18,24
9;11554;1423;12,93;15,46;25,16
10;42638;6523;14,67;12,36;23,85
11;26635;6186;18,57;13,81;24,15
12;19886;2518;11,28;9,85;16,84
13;18308;4673;17,12;9,29;21,1
14;45708;12936;19,08;14,12;30,8
15;63049;18153;20,59;14,16;25,65
16;53302;16223;15,18;13,39;26,96
17;41208;8707;16,37;15,75;26,05
18;14290;3189;16,06;17,43;26,9
19;72132;26561;24,22;16,49;30,57
20;22645;9058;24,35;17,31;29,86
21;35521;12830;17,4;13,55;26,84
22;71427;27932;16,89;11,37;24,23
23;55767;46731;38,59;16,21;30,67
24;88182;40445;14,58;7,85;22,41
25;97671;94038;37,42;18,83;32,27
26;15086;31227;48,24;15,44;28,29
27;20740;28628;39,14;17,44;33,23
28;68098;43080;20,85;9,23;24,55
29;33980;45745;36,97;19,31;34,42
30;69830;24729;26,67;16,51;35,16
31;33412;14179;23,27;11,79;28,28
32;43757;39353;25,07;3,14;15,7
33;28904;9229;20,7;8,14;23,08
34;13822;6145;21,63;8,97;28,43
35;21091;13216;23,77;13,73;33,54
36;6940;3444;16,2;22,13;32,87
37;2341;4988;32,7;14,15;32,44
38;25177;17979;24,2;18,97;35,4
39;18428;7639;15,17;17,18;30,27
40;12315;15186;25,73;20,72;38,46
41;30600;8247;11,35;10,6;23,31
42;24803;21624;29,0;19,03;34,77
43;51378;48564;23,1;21,8;35,25
44;30021;32851;27,45;19,05;32,97
45;8939;7623;20,18;17,24;34,0
46;27507;27391;26,87;20,75;36,69
47;2293;2187;20,8;17,6;30,68
48;11227;7984;17,12;16,91;29,56
49;36745;37937;28,34;18,14;34,47
50;6784;5856;27,7;16,91;34,36
51;12876;10518;25,11;17,64;32,25
52;22701;7265;23,73;16,94;31,41
53;24421;23102;26,98;20,43;33,72
54;7483;6909;23,77;23,22;45,42
55;8768;3172;19,74;18,51;30,86
56;36657;10414;22,99;10,97;22,29
57;13492;5319;19,44;10,75;25,1
58;43146;14358;24,22;16,15;31,2
59;14856;5785;24,25;13,14;25,43
60;33543;9134;17,88;14,0;26,35
61;39952;27914;31,39;16,43;34,19
62;17759;5797;18,27;11,14;23,37
63;36010;13364;25,12;14,59;30,43
64;23667;5275;16,82;18,1;26,45
65;31827;10956;23,83;12,53;22,99
66;54300;34315;28,66;18,02;32,77
67;28312;41007;31,07;20,02;35,71
68;23161;37791;30,01;20,85;37,82
69;29219;36438;27,66;21,39;37,12
70;42180;13186;16,75;13,79;27,11
71;43861;41322;26,79;21,32;35,57
72;19554;5073;13,15;11,93;22,22
73;24756;17370;23,51;17,28;31,69
74;19064;3221;15,03;17,01;26,92
75;21410;11375;22,66;16,6;29,44
76;15287;9385;24,14;4,61;13,24
77;56573;12906;21,34;11,23;26,44
