Community Area;Name;Year;Predicted_Crime_Count;Population;Unemployment Rate;Poverty Rate;Per Capita Income;Education Rate (High School)
25;Austin;2025;16507;96948,77432693497;10,592442553051916;24,177334909345678;28278,825178535466;83,42454511578515
8;Near North Side;2025;9426;98558,15855621609;2,328610479027126;9,942489172297853;136331,97676427354;98,91812329153205
43;South Shore;2025;8225;50997,62607234428;10,849946884118708;29,49856878562872;34464,60980156116;88,80132473036059
29;North Lawndale;2025;7995;33728,6191162869;10,501013483401744;32,66369241742433;27120,243873915693;84,5750019489426
71;Auburn Gresham;2025;7915;43536,32319676503;12,13127445225936;28,941874285063417;28624,604962278034;86,54040654858937
23;Humboldt Park;2025;7821;55354,52523482793;7,381032976619867;27,663184382828867;31263,282967282525;78,69125269825393
28;Near West Side;2025;7440;67594,02453008683;4,855079838503525;16,649347320862805;97047,8906057228;95,98114180545245
67;West Englewood;2025;7300;28102,323645152523;12,291145609047126;33,056864829909465;23377,77787250596;77,24359102726075
69;Greater Grand Crossing;2025;7264;29003,09060822031;12,031744168653264;30,781556973398747;28958,643185763616;85,58025812919463
24;West Town;2025;7169;87529,51962189136;2,7291903890509737;8,383214717118028;105487,21649243821;95,80659763388527
22;Logan Square;2025;6697;70898,3459128044;3,1465212320572484;10,882297147616754;81129,07475232644;93,40690714857823
49;Roseland;2025;6616;36473,62783740092;12,445344978937113;23,440236667719894;29888,535742216172;88,73735962003269
66;Chicago Lawn;2025;6372;53898,7617223797;8,186669208461318;21,893012268080174;27436,530141553456;74,08342134475092
68;Englewood;2025;6310;22989,650475777125;16,03594359216363;34,54712554409557;22243,17784826367;79,37202840582471
6;Lake View;2025;5984;102064,37736797366;2,3325225352102916;8,44985293036114;101967,92954683816;98,97563583742034
32;Loop;2025;5948;43433,241713636;3,6571665619173808;11,516557461215454;112457,25802037017;97,49387426582045
44;Chatham;2025;5928;29799,388676773648;11,460008552842233;25,154390425490085;35486,99565576663;90,95659519252406
30;South Lawndale;2025;5926;69313,60185930532;4,714157619179125;20,33935229517541;25571,181653347317;65,36504260301894
61;New City;2025;5916;39656,73554934772;8,757085995948053;27,986051421837224;26449,926872054282;71,83615054852001
26;West Garfield Park;2025;5325;14974,5913250781;13,562592387217556;31,600444166522166;23850,747614147;78,2117254404995
46;South Chicago;2025;4825;27303,71574674728;10,752026962328422;30,45677212576408;29431,377079294864;82,25542117579641
19;Belmont Cragin;2025;4787;71598,19776528252;3,9798269019901302;16,32309591701961;29882,047246980812;70,58348383843106
7;Lincoln Park;2025;4615;67418,27804608452;3,1276151007386552;8,820825721389262;127440,77615733794;98,68978653636844
53;West Pullman;2025;4001;24240,734112224083;13,097558122044985;24,27365121252035;28631,557707048327;87,58192855151758
2;West Ridge;2025;3986;77810,56485040292;5,215331052914909;20,055848549701533;39070,34910419828;87,67083854644324
