Community Area;Primary Type;Crime_Count;Total_Crimes_Area;Crime_Percentage
1,0;THEFT;4688;20500;22,87
1,0;BATTERY;4110;20500;20,05
1,0;CRIMINAL DAMAGE;2293;20500;11,19
1,0;NARCOTICS;1440;20500;7,02
1,0;OTHER OFFENSE;1414;20500;6,9
2,0;THEFT;4219;17736;23,79
2,0;BATTERY;3049;17736;17,19
2,0;CRIMINAL DAMAGE;2395;17736;13,5
2,0;BURGLARY;1326;17736;7,48
2,0;OTHER OFFENSE;1220;17736;6,88
3,0;THEFT;5386;20372;26,44
3,0;BATTERY;3397;20372;16,67
3,0;NARCOTICS;2138;20372;10,49
3,0;CRIMINAL DAMAGE;1788;20372;8,78
3,0;DECEPTIVE PRACTICE;1500;20372;7,36
4,0;THEFT;2954;10255;28,81
4,0;BATTERY;1631;10255;15,9
4,0;CRIMINAL DAMAGE;1326;10255;12,93
4,0;DECEPTIVE PRACTICE;743;10255;7,25
4,0;BURGLARY;710;10255;6,92
5,0;THEFT;2917;7992;36,5
5,0;CRIMINAL DAMAGE;1049;7992;13,13
5,0;BURGLARY;774;7992;9,68
5,0;BATTERY;751;7992;9,4
5,0;DECEPTIVE PRACTICE;629;7992;7,87
6,0;THEFT;12168;32038;37,98
6,0;BATTERY;4216;32038;13,16
6,0;CRIMINAL DAMAGE;3049;32038;9,52
6,0;DECEPTIVE PRACTICE;2787;32038;8,7
6,0;BURGLARY;2182;32038;6,81
7,0;THEFT;10150;21737;46,69
7,0;CRIMINAL DAMAGE;2387;21737;10,98
7,0;BATTERY;1870;21737;8,6
7,0;DECEPTIVE PRACTICE;1752;21737;8,06
7,0;BURGLARY;1543;21737;7,1
8,0;THEFT;23756;50290;47,24
8,0;DECEPTIVE PRACTICE;6293;50290;12,51
8,0;BATTERY;6051;50290;12,03
8,0;CRIMINAL DAMAGE;2855;50290;5,68
8,0;CRIMINAL TRESPASS;2070;50290;4,12
9,0;THEFT;314;1433;21,91
9,0;BATTERY;247;1433;17,24
9,0;CRIMINAL DAMAGE;229;1433;15,98
9,0;DECEPTIVE PRACTICE;160;1433;11,17
9,0;OTHER OFFENSE;153;1433;10,68
10,0;THEFT;1776;6578;27,0
10,0;BATTERY;989;6578;15,03
10,0;CRIMINAL DAMAGE;956;6578;14,53
10,0;DECEPTIVE PRACTICE;536;6578;8,15
10,0;OTHER OFFENSE;535;6578;8,13
11,0;THEFT;1634;6233;26,22
11,0;BATTERY;918;6233;14,73
11,0;CRIMINAL DAMAGE;798;6233;12,8
11,0;BURGLARY;510;6233;8,18
11,0;OTHER OFFENSE;469;6233;7,52
12,0;THEFT;689;2543;27,09
12,0;BURGLARY;380;2543;14,94
12,0;CRIMINAL DAMAGE;361;2543;14,2
12,0;BATTERY;261;2543;10,26
12,0;DECEPTIVE PRACTICE;253;2543;9,95
13,0;THEFT;1457;4711;30,93
13,0;BATTERY;592;4711;12,57
13,0;CRIMINAL DAMAGE;582;4711;12,35
13,0;BURGLARY;514;4711;10,91
13,0;DECEPTIVE PRACTICE;278;4711;5,9
14,0;THEFT;2847;13040;21,83
14,0;BATTERY;2473;13040;18,96
14,0;CRIMINAL DAMAGE;1847;13040;14,16
14,0;BURGLARY;859;13040;6,59
14,0;MOTOR VEHICLE THEFT;815;13040;6,25
15,0;THEFT;4451;18294;24,33
15,0;BATTERY;2950;18294;16,13
15,0;CRIMINAL DAMAGE;2362;18294;12,91
15,0;OTHER OFFENSE;1366;18294;7,47
15,0;BURGLARY;1343;18294;7,34
16,0;THEFT;3913;16365;23,91
16,0;BATTERY;2835;16365;17,32
16,0;CRIMINAL DAMAGE;2240;16365;13,69
16,0;MOTOR VEHICLE THEFT;1349;16365;8,24
16,0;BURGLARY;1295;16365;7,91
17,0;THEFT;1793;8774;20,44
17,0;BATTERY;1430;8774;16,3
17,0;CRIMINAL DAMAGE;1251;8774;14,26
17,0;BURGLARY;882;8774;10,05
17,0;OTHER OFFENSE;768;8774;8,75
18,0;THEFT;666;3231;20,61
18,0;BATTERY;547;3231;16,93
18,0;CRIMINAL DAMAGE;458;3231;14,18
18,0;BURGLARY;311;3231;9,63
18,0;OTHER OFFENSE;271;3231;8,39
19,0;THEFT;5079;26791;18,96
19,0;BATTERY;5028;26791;18,77
19,0;CRIMINAL DAMAGE;3286;26791;12,27
19,0;OTHER OFFENSE;2048;26791;7,64
